category,subcategory_1,subcategory_2,uuid,name,description,part_number,price,cost,taxable,unit_of_measure,material_markup_enabled
Install,Ductwork,Misc fittings,pbmat_fe16bb455e09476fbe695173d576d904,6660782,Cleat 5' 30GA S Galvanized Foot,6660782,$0.77,$0.77,true,per foot,false
Install,Ductwork,Misc fittings,pbmat_c7eb1f1cd7e54be5a17820886cab7e6b,6660754,Cleat 5' 30GA Drive Foot,6660754,$0.50,$0.50,true,per foot,false
Install,Ductwork,Rectangle duct,pbmat_de3672adbd3541d2853d57188ea85add,6717422,"Duct 16"" x 10"" x 5' Steel 28GA Galvanized",6717422,$7.84,$7.84,true,per foot,false
Install,Ductwork,Rectangle duct,pbmat_c5dac03556134cdfbf92dca49c910d59,6716043,"Duct 14"" x 8"" x 5' Steel 30GA Galvanized",6716043,$7.96,$7.96,true,per foot,false
Install,Ductwork,Rectangle duct,pbmat_ec79b129553c4cfeb09929c21ccb9428,6716005,"Duct 18"" x 8"" x 5' Steel 28GA Galvanized",6716005,$7.79,$7.79,true,Each,false
Install,Ductwork,Round fittings,pbmat_4442e827bad54590b6d96834bc86c70d,6661823,"Take-Off 5"" Universal Round Top-Side Galvanized",6661823,$3.85,$3.85,true,Each,false
Install,Ductwork,Rectangle duct,pbmat_0cf40c931a39432f95fdc9d28a3e0925,6716044,"Duct 16"" x 8"" x 5' Steel 28GA Galvanized",6716044,$7.34,$7.34,true,per foot,false
Install,Ductwork,Diffusers & grilles,pbmat_28c44422580b4ab1b4b2915189e098f5,6730990,"RDV6S Vent 6"" Polymer Resin Round Soffit White",6730990,$6.16,$6.16,true,Each,false
Install,Ductwork,Flexible round,pbmat_b5d954e309ae44c7a18c4b00e245bbde,6770167,Insulated flexible duct - MEA 6x25' ALUM AIR DUCT R4.2,6770167,$66.92,$66.92,true,Each,false
Install,Ductwork,Round fittings,pbmat_e353d13d9e6f414c9d3fb2dfc5c3a57c,6713062,"Take-Off 6"" Square-Round Side Galvanized",6713062,$4.60,$4.60,true,Each,false
Install,Ductwork,Round fittings,pbmat_e3657ae764454dcc82e4938aa2494560,6713093,"Elbow 12"" Steel 26GA 90° Adjustable CROE F/Duct Galvanized",6713093,$19.65,$19.65,true,Each,false
Install,Ductwork,Round fittings,pbmat_c02b96a36ec0448d9b1482e8bd56275c,6711419,"Elbow 10"" Metal 30GA 90° Adjustable CROE Galvanized",6711419,$9.22,$9.22,true,Each,false
Install,Ductwork,Misc fittings,pbmat_c3d0893aaa3a4c0c9c56915db7147983,8080019,Carlisle Hardcast 322674 Duct Seal 1GAL Water-Based Grey,8080019,$38.94,$38.94,true,Each,false
Install,Ductwork,Round pipe,pbmat_fa71d5842829489e990bd8ecca9ef137,6716640,"Pipe 10"" x 60"" Steel 30GA Galvanized",6716640,$4.34,$4.34,true,per foot,false
Install,Ductwork,Round pipe,pbmat_8971be223a2248659dd533779f2ac3fd,6716641,"Pipe 12"" x 60"" Steel 30GA Galvanized",6716641,$7.40,$7.40,true,per foot,false
Install,Ductwork,Rectangle duct,pbmat_a6dec91750f84294bef77bd52c01b462,6716040,"Duct 8"" x 8"" x 5' Steel 30GA Galvanized",6716040,$5.38,$5.38,true,per foot,false
Install,Ductwork,Round fittings,pbmat_ef5bdcb6126f438bbd0992ce45b5d7e4,6713064,"Take-Off 8"" Square-Round Side Galvanized",6713064,$8.73,$8.73,true,Each,false
Install,Ductwork,Round fittings,pbmat_f826fd5c05724269a87373494bd11e6b,6710903,"Elbow 8"" Steel 30GA 90° Adjustable CROE Galvanized",6710903,$5.08,$5.08,true,Each,false
Install,Ductwork,Round pipe,pbmat_4b012c8ac0084ccb9cbbd51c3e1d7deb,6716642,"Pipe 8"" x 60"" Steel 30GA Galvanized",6716642,$2.65,$2.65,true,per foot,false
Install,Ductwork,Diffusers & grilles,pbmat_8f42072f30f34618afaa899c50c28e93,6715913,"Primex 115-0667 WC401 Cap 4"" 4"" Polymer Resin Wall F/Exhaust Vent",6715913,$11.51,$11.51,true,Each,false
Install,Air quality,"",pbmat_f9f19125ebeb4ae2995757bb0fdb6b92,9027229,Exhaust fan vapour barrier - G-59 VAPOUR BARRIER/BOOT,9027229,$6.64,$6.64,true,Each,false
Install,Ductwork,Flexible round,pbmat_4dbf15441da542009f16d2b9b2d75b0f,6779971,Insulated flexible duct - KM 5x25' INSUL THERM DUCT 4.2,6779971,$72.13,$72.13,true,Each,false
Install,Ductwork,Round pipe,pbmat_968a2b6d4e5549ec9236609eaa7fcdf8,6716643,"Pipe 7"" x 60"" Steel 30GA Galvanized",6716643,$2.62,$2.62,true,per foot,false
Install,Ductwork,Misc fittings,pbmat_9972202afa5242c1bd0e92ffe510664b,6718076,"Plenum 16-1/2"" x 20-1/8"" x 59"" 28GA W/Cap",6718076,$162.02,$162.02,true,Each,false
Install,Ductwork,Round pipe,pbmat_ce064e1fda2346d98c4bc1caa37c23bf,6712016,"Pipe 6"" x 60"" Steel 32GA Round Type B SNAPLOCK Galvanized Foot",6712016,$1.34,$1.34,true,per foot,false
Install,Ductwork,Round fittings,pbmat_45a6c94389554c10a5cd80b77981013c,6712018,"Elbow 4"" Steel 30GA 90° Adjustable CROE F/Duct Galvanized",6712018,$1.75,$1.75,true,Each,false
Install,Ductwork,Round fittings,pbmat_9dfb96bd4dc94bd2a4c396492dad46be,6716649,"Boot 3"" x 10"" x 4"" Universal Round-Rectangular Straight Galvanized",6716649,$4.58,$4.58,true,Each,false
Install,Ductwork,Misc fittings,pbmat_a0e160dd72264b80b677e166474d14aa,6660827,"Damper 4"" Round F/Pipe W/Handle Key Galvanized",6660827,$4.67,$4.67,true,Each,false
Install,Ductwork,Round fittings,pbmat_74cb3e927f4949aca015aa4d1b6c9e1e,6713061,"Take-Off 4"" Square-Round Side Galvanized",6713061,$2.97,$2.97,true,Each,false
Install,Ductwork,Round fittings,pbmat_c9641cebeedf4448aa7b89e932a8aa7d,6715507,"Boot 4"" x 10"" x 5"" Universal Round-Rectangular Straight Galvanized",6715507,$5.38,$5.38,true,Each,false
Install,Ductwork,Misc fittings,pbmat_7243a828c4a24fd196e9e04fb0ad65d1,6660886,"Damper 6"" Round F/Pipe W/Handle Key Galvanized",6660886,$5.42,$5.42,true,Each,false
Install,Ductwork,Diffusers & grilles,pbmat_79ac76ce38c94ba7900faf0774b2c675,6670538,"Primex 115-0463 HRA410 Register 4"" x 10"" Polymer Resin Floor White",6670538,$2.81,$2.81,true,Each,false
Install,Ductwork,Flexible round,pbmat_2e450dd402734eedb494f8822dd29624,6779970,Insulated flexible duct - KM 4x25' INSUL THERM DUCT 4.2,6779970,$68.69,$68.69,true,Each,false
Install,Ductwork,Round pipe,pbmat_d0638f5f2baf448e94e3219857edac92,6712014,"Pipe 4"" x 60"" Steel 30GA Round Type B SNAPLOCK Galvanized Foot",6712014,$0.97,$0.97,true,per foot,false
Install,Ductwork,Diffusers & grilles,pbmat_e213758adcaa40849fe7971dd382a687,6715921,"Primex 115-0704 WC601 Cap 6"" 6"" Polymer Resin Wall F/Exhaust Vent",6715921,$16.36,$16.36,true,Each,false
Install,Ductwork,Round fittings,pbmat_0ad5f6b06ccc4c85941ef4e161ce8029,6712020,"Elbow 6"" Steel 30GA 90° Adjustable CROE F/Duct Galvanized",6712020,$2.44,$2.44,true,Each,false
Equipment,Mitsubishi,"",pbmat_aba7ecf8d173435f9212b7d1a1260c69,SUZ-KA18NAHZ,Single split outdoor unit,SUZ-KA18NAHZ,$2738.34,$2738.34,true,Each,false
Install,Ductwork,Rectangle duct,pbmat_a9c317afacd94eb0a12cc0b26503da00,6660070,"Duct 12"" x 10"" x 5' Steel 30GA Galvanized",6660070,$6.49,$6.49,true,per foot,false
Equipment,Sunpak,"",pbmat_f964e09760ce45e2a3bbf9af94008959,6708600,"Patio heater 25,000 BTU black - S25 PATIO HTR 25MBH NG BLK",6708600,$2365.27,$2365.27,true,Each,false
Equipment,Sunpak,"",pbmat_85b0d2e98a2f43ae96bfd155d04d5f50,6708607,"Patio heater 34,000 BTU black - S34 PATIO HTR 34MBH NG BLK",6708607,$2542.52,$2542.52,true,Each,false
Equipment,Sunpak,"",pbmat_a3fa1cf1cbf145c6882e2a48130339d6,6708601,"Patio heater 25,000 BTU stainless steel - S25 PATIO HTR 25MBH NG SS",6708601,$2530.30,$2530.30,true,Each,false
Equipment,Sunpak,"",pbmat_861b66d7970c42298a4b4d9c1c44ea03,6708608,"Patio heater 34,000 BTU stainless steel - S34 PATIO HTR 34MBH NG SS",6708608,$2706.67,$2706.67,true,Each,false
Equipment,Sunpak,"",pbmat_754847f7ab7a48358f3ff6f78684b7d2,6708625,120V to 24V transformer - IN90048 SUNPAK TRNSFRMR,6708625,$87.19,$87.19,true,Each,false
